District,Year,Enrollment
Tyler,2021,1185.0
Tyler,2022,1228.0
Tyler,2023,1250.0
Tyler,2024,1191.0
Tyler,2025,1184.0
Tyler,2026,1224.0
Upshur,2011,3867.0
Upshur,2012,3859.0
Upshur,2013,3854.0
Upshur,2014,3822.0
Upshur,2015,3832.0
Upshur,2016,3794.0
Upshur,2017,3785.0
Upshur,2018,3757.0
Upshur,2019,3762.0
Upshur,2020,3737.0
Upshur,2021,3701.0
Upshur,2022,3947.0
Upshur,2023,3774.0
Upshur,2024,3599.0
Upshur,2025,3376.0
Upshur,2026,3194.0
Wayne,2011,7448.0
Wayne,2012,7453.0
Wayne,2013,7508.0
Wayne,2014,7446.0
Wayne,2015,7412.0
Wayne,2016,7315.0
Wayne,2017,7135.0
Wayne,2018,6999.0
Wayne,2019,6730.0
Wayne,2020,6660.0
Wayne,2021,6421.0
Wayne,2022,6309.0
Wayne,2023,6222.0
Wayne,2024,6082.0
Wayne,2025,5915.0
Wayne,2026,5679.0
Webster,2011,1534.0
Webster,2012,1505.0
Webster,2013,1493.0
Webster,2014,1446.0
Webster,2015,1438.0
Webster,2016,1407.0
Webster,2017,1396.0
Webster,2018,1366.0
Webster,2019,1312.0
Webster,2020,1273.0
Webster,2021,1194.0
Webster,2022,1204.0
Webster,2023,1187.0
Webster,2024,1116.0
Webster,2025,1048.0
Webster,2026,990.0
Wetzel,2011,2844.0
Wetzel,2012,2855.0
Wetzel,2013,2818.0
Wetzel,2014,2757.0
Wetzel,2015,2729.0
Wetzel,2016,2688.0
Wetzel,2017,2554.0
Wetzel,2018,2531.0
Wetzel,2019,2479.0
Wetzel,2020,2422.0
Wetzel,2021,2332.0
Wetzel,2022,2264.0
Wetzel,2023,2216.0
Wetzel,2024,2178.0
Wetzel,2025,2140.0
Wetzel,2026,1979.0
Wirt,2011,1010.0
Wirt,2012,1000.0
Wirt,2013,1035.0
Wirt,2014,1022.0
Wirt,2015,1039.0
Wirt,2016,1073.0
Wirt,2017,1025.0
Wirt,2018,1035.0
Wirt,2019,1009.0
Wirt,2020,995.0
Wirt,2021,948.0
Wirt,2022,923.0
Wirt,2023,920.0
Wirt,2024,899.0
Wirt,2025,862.0
Wirt,2026,831.0
Wood,2011,13462.0
Wood,2012,13455.0
Wood,2013,13341.0
Wood,2014,13260.0
Wood,2015,13259.0
Wood,2016,13086.0
Wood,2017,12860.0
Wood,2018,12606.0
Wood,2019,12384.0
Wood,2020,12216.0
Wood,2021,11855.0
Wood,2022,11886.0
Wood,2023,11653.0
Wood,2024,11314.0
Wood,2025,11045.0
Wood,2026,10789.0
Wyoming,2011,4229.0
Wyoming,2012,4197.0
Wyoming,2013,4270.0
Wyoming,2014,4256.0
Wyoming,2015,4142.0
Wyoming,2016,4060.0
Wyoming,2017,3977.0
Wyoming,2018,3936.0
Wyoming,2019,3848.0
Wyoming,2020,3771.0
Wyoming,2021,3588.0
Wyoming,2022,3562.0
Wyoming,2023,3526.0
Wyoming,2024,3366.0
Wyoming,2025,3264.0
Wyoming,2026,3133.0
